rebalance_date,market_id,token_id,n_obs,same_day_corr,best_lag,best_lag_corr,abs_best_lag_corr,best_lag_n,question,outcome,category,volume,created_at,end_date
2025-06-01,533852,40902209963355115759331536205214853537622056896514703594538648494237557365925,58,-0.0036801772814725017,4,-0.49187248666198347,0.49187248666198347,54,5% GDP contraction in Q3 2025?  ,Yes,,350996.638223,2025-04-03 19:48:31,2025-10-30 12:00:00
2025-06-01,526940,90763775735072334232721122308159823862253607745688303273165611127345237443935,87,-0.17711397941910142,2,-0.2938230349954825,0.2938230349954825,85,Fed abolished in 2025?,No,,406164.167159,2025-03-05 22:58:15,2025-12-31 12:00:00
2025-06-01,526940,46950784014926930029762057529475355849676847783618488553665179149113870309123,87,0.14038604796048365,2,0.28257119000600917,0.28257119000600917,85,Fed abolished in 2025?,Yes,,406164.167159,2025-03-05 22:58:15,2025-12-31 12:00:00
2025-06-01,521255,56738600572035832904895845056468792275697823297413384908752239327866518310010,120,-0.044542377696212984,4,0.2750509324459387,0.2750509324459387,116,Will Trump & Elon reduce the deficit in 2025? ,Yes,,151428.445958,2025-01-31 21:33:10,2026-02-28 12:00:00
2025-07-01,533852,105930058973257231541968344608850561340243810890626279676144537957111954713629,88,-0.002504267639804331,4,0.4314207630950973,0.4314207630950973,84,5% GDP contraction in Q3 2025?  ,No,,350996.638223,2025-04-03 19:48:31,2025-10-30 12:00:00
2025-07-01,538296,104660478840169562234278914176790779069647562830175982209255116500836621418598,73,0.07840237289921523,2,0.39524067167498683,0.39524067167498683,71,Will Trump announce Ron Paul as next Fed Chair in 2025?,No,,107882.293786,2025-04-18 17:36:09,2025-12-31 12:00:00
2025-07-01,538297,88275534228309472835244830475321997602242182954143976209814877574836162708279,73,0.2298438074739659,2,0.36598092336895194,0.36598092336895194,71,Will Trump announce Chamath Palihapitiya as next Fed Chair in 2025?,No,,65056.52883,2025-04-18 17:36:09,2025-12-31 12:00:00
2025-07-01,533852,40902209963355115759331536205214853537622056896514703594538648494237557365925,88,-0.038863234677609375,4,-0.33612854287155447,0.33612854287155447,84,5% GDP contraction in Q3 2025?  ,Yes,,350996.638223,2025-04-03 19:48:31,2025-10-30 12:00:00
2025-07-01,538294,84664722840278819917535861321834691524538257324208349406609416176663504447164,73,0.14339100345308983,4,-0.3346401808041584,0.3346401808041584,69,Will Trump announce Larry Kudlow as next Fed Chair in 2025?,No,,144424.369901,2025-04-18 17:36:08,2025-12-31 12:00:00
2025-08-01,533852,105930058973257231541968344608850561340243810890626279676144537957111954713629,119,0.034503600716106565,4,0.41983364601377154,0.41983364601377154,115,5% GDP contraction in Q3 2025?  ,No,,350996.638223,2025-04-03 19:48:31,2025-10-30 12:00:00
2025-08-01,538296,104660478840169562234278914176790779069647562830175982209255116500836621418598,104,0.11206726394074995,2,0.3599235435899313,0.3599235435899313,102,Will Trump announce Ron Paul as next Fed Chair in 2025?,No,,107882.293786,2025-04-18 17:36:09,2025-12-31 12:00:00
2025-08-01,538297,88275534228309472835244830475321997602242182954143976209814877574836162708279,104,0.19757890966092484,2,0.32308413352756327,0.32308413352756327,102,Will Trump announce Chamath Palihapitiya as next Fed Chair in 2025?,No,,65056.52883,2025-04-18 17:36:09,2025-12-31 12:00:00
2025-08-01,538294,93129434403650768859966255099850693859574161590145150130975978503383063909549,104,-0.030383513671938266,4,0.28377638420276363,0.28377638420276363,100,Will Trump announce Larry Kudlow as next Fed Chair in 2025?,Yes,,144424.369901,2025-04-18 17:36:08,2025-12-31 12:00:00
2025-08-01,538294,84664722840278819917535861321834691524538257324208349406609416176663504447164,104,0.12875911027241385,4,-0.2824588592623669,0.2824588592623669,100,Will Trump announce Larry Kudlow as next Fed Chair in 2025?,No,,144424.369901,2025-04-18 17:36:08,2025-12-31 12:00:00
2025-09-01,533852,105930058973257231541968344608850561340243810890626279676144537957111954713629,150,0.07315809862488609,4,0.39086686666877524,0.39086686666877524,146,5% GDP contraction in Q3 2025?  ,No,,350996.638223,2025-04-03 19:48:31,2025-10-30 12:00:00
2025-09-01,538301,110542374554363947035283251049382989846258786662775111474992235188371462408597,72,-0.03812719323797558,6,-0.36432560520218066,0.36432560520218066,66,Will Trump announce Chris Waller as next Fed Chair in 2025?,Yes,,487552.521388,2025-04-18 17:36:11,2025-12-31 12:00:00
2025-09-01,538301,95985702199453845710980285819501240310484282808208198287091133639412547961325,72,-0.04595173795125673,6,0.31489363241069357,0.31489363241069357,66,Will Trump announce Chris Waller as next Fed Chair in 2025?,No,,487552.521388,2025-04-18 17:36:11,2025-12-31 12:00:00
2025-09-01,538296,104660478840169562234278914176790779069647562830175982209255116500836621418598,135,0.11816794206780744,2,0.3041388998713401,0.3041388998713401,133,Will Trump announce Ron Paul as next Fed Chair in 2025?,No,,107882.293786,2025-04-18 17:36:09,2025-12-31 12:00:00
2025-09-01,538302,14202324870379405425899404426910559364927813382983887149605667058054176206987,68,-0.05233485576051594,7,-0.28568602463268217,0.28568602463268217,61,Will Trump announce Michelle Bowman as next Fed Chair in 2025?,Yes,,392236.42932,2025-04-18 17:36:11,2025-12-31 12:00:00
2025-10-01,572470,22802130763821766047382314926654345322953005062130920361011056163048911488589,56,-0.08904373016091943,6,-0.3860131339102044,0.3860131339102044,50,Will Trump nominate Kevin Hassett as the next Fed chair?,No,,1851987.647848,2025-08-05 17:13:19,2026-12-31 00:00:00
2025-10-01,572476,67226656450095636293712530956946388608022327392541095566165288573961331856925,56,-0.039548641802177785,7,-0.38161272519896705,0.38161272519896705,49,Will Trump nominate Arthur Laffer as the next Fed chair?,No,,482213.105304,2025-08-05 17:13:22,2026-12-31 00:00:00
2025-10-01,572476,102110965054889141204087078786638995691907331207010422719821820828048023654600,56,0.17175768508762065,6,-0.37631605570232407,0.37631605570232407,50,Will Trump nominate Arthur Laffer as the next Fed chair?,Yes,,482213.105304,2025-08-05 17:13:22,2026-12-31 00:00:00
2025-10-01,572482,37754574384440883990827952660223422756261526693098504716297830889022731987783,53,0.1476734306762557,4,-0.357442881482084,0.357442881482084,49,Will Trump nominate James B. Bullard as the next Fed chair?,No,,439337.471502,2025-08-05 17:13:25,2026-12-31 00:00:00
2025-10-01,533852,105930058973257231541968344608850561340243810890626279676144537957111954713629,180,0.0745567216705233,4,0.3571926731230033,0.3571926731230033,176,5% GDP contraction in Q3 2025?  ,No,,350996.638223,2025-04-03 19:48:31,2025-10-30 12:00:00
2025-11-01,572478,75562986572078747541577175725857968095799345857741050112699871710798605147441,87,-0.21600733608206216,3,-0.3194078256983463,0.3194078256983463,84,Will Trump nominate Jerome Powell as the next Fed chair?,Yes,,329425.575809,2025-08-05 17:13:23,2026-12-31 00:00:00
2025-11-01,572476,102110965054889141204087078786638995691907331207010422719821820828048023654600,87,0.007054305779012519,6,-0.31842787713452475,0.31842787713452475,81,Will Trump nominate Arthur Laffer as the next Fed chair?,Yes,,482213.105304,2025-08-05 17:13:22,2026-12-31 00:00:00
2025-11-01,572487,50171423175325139448717816465162803349346980395603728537235031000605310315331,79,0.09225838143730565,6,0.30553692388981085,0.30553692388981085,73,Will Trump nominate Lorie K. Logan as the next Fed chair?,No,,258887.485985,2025-08-05 17:13:28,2026-12-31 00:00:00
2025-11-01,572473,5031084282167950494806674428243037744881029417420880897305642929037077494331,87,0.11959956309071436,5,-0.29848558353103344,0.29848558353103344,82,Will Trump nominate Judy Shelton as the next Fed chair?,Yes,,882849.015293,2025-08-05 17:13:21,2026-12-31 00:00:00
2025-11-01,572491,52281335028968805503254491451326843095467394147503973284515594816003833390796,50,0.004344463627785623,4,-0.29537818444024255,0.29537818444024255,46,Will Trump nominate Larry Lindsey as the next Fed chair?,Yes,,715777.006404,2025-08-05 17:13:30,2026-12-31 00:00:00
2025-12-01,631183,97342279120678273630607683054795863275129877804426302350940891369401329581143,51,-0.17742173414471757,6,-0.4622141022104955,0.4622141022104955,45,Will Apple be the largest company in the world by market cap on June 30?,Yes,,65443.26808,2025-10-10 20:51:57,2026-06-30 00:00:00
2025-12-01,616908,77531340423610587330488971960018210147778793548713753738604838920212617696839,62,-0.24923417116773933,1,-0.4125606792843423,0.4125606792843423,61,Will 6 Fed rate cuts happen in 2026?,Yes,,71366.506824,2025-09-29 13:23:22,2026-12-31 00:00:00
2025-12-01,608405,114008160522524135838931792829393318088619950145193198099438473731147377613768,68,-0.04766546148806142,6,0.3856200487506008,0.3856200487506008,62,Will Anthropic’s market cap be between $100B and $200B at market close on IPO day?,No,,4840.504179,2025-09-22 19:44:03,2026-06-30 00:00:00
2025-12-01,631186,101572915378052466010537773686792142702472736962773444087157973880663103257016,51,0.16768460642976152,5,-0.37231616473113277,0.37231616473113277,46,Will Saudi Aramco be the largest company in the world by market cap on June 30?,Yes,,131427.509774,2025-10-10 20:51:59,2026-06-30 00:00:00
2025-12-01,616914,9348234470735473071085620208817441102005165766524508452759679947551704787649,62,0.03126547436310565,7,-0.3677184472916763,0.3677184472916763,55,Will 12 or more Fed rate cuts happen in 2026?,Yes,,62279.970262,2025-09-29 13:23:24,2026-12-31 00:00:00
2026-01-01,676713,71851737340748530106150191584701798269423178808109228424788423882609766682084,49,-0.0371573415411766,2,-0.3787928665104646,0.3787928665104646,47,Will Alphabet be the largest company in the world by market cap on March 31?,No,,15771.224993,2025-11-11 17:37:48,2026-03-31 00:00:00
2026-01-01,670001,320566142977142750550628583130486632791144286755415347500379246577678863180,54,0.17316637619287006,5,-0.3662898233940816,0.3662898233940816,49,Bank of Japan increases interest rates by 50+ bps after January 2026 meeting?,No,,12850.120762,2025-11-07 19:29:55,2026-01-23 00:00:00
2026-01-01,669998,89101263909287294072949043809792352926280943456018519234905704418617078179972,54,0.18158744250705414,5,-0.35895909226388933,0.35895909226388933,49,Bank of Japan decreases interest rates after January 2026 meeting?,No,,17598.615733,2025-11-07 19:29:54,2026-01-23 00:00:00
2026-01-01,616908,77531340423610587330488971960018210147778793548713753738604838920212617696839,93,-0.25025162107226334,1,-0.3555526134152409,0.3555526134152409,92,Will 6 Fed rate cuts happen in 2026?,Yes,,71366.506824,2025-09-29 13:23:22,2026-12-31 00:00:00
2026-01-01,654422,55638751273492498581913025406948133391951499285389844259217428247388716295969,63,-0.05387554927774069,7,0.35440872677934826,0.35440872677934826,56,Negative GDP growth in Q4 2025?,Yes,,12428.894505,2025-10-28 21:03:31,2026-01-29 00:00:00
